,Date,Country/Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered
89092,2021-04-30,Argentina,2977363,63865,2634306.0,279192.0,22420,357,26229
89095,2021-04-30,Austria,618870,10205,584777.0,23888.0,2131,26,2202
89099,2021-04-30,Bangladesh,759132,11450,681426.0,66256.0,2177,57,4325
89102,2021-04-30,Belgium,990229,24230,0.0,965999.0,3607,45,0
89109,2021-04-30,Brazil,14659011,403781,12991951.0,1263279.0,68333,2595,49870
89118,2021-04-30,Canada,1228354,24220,0.0,1204134.0,8259,55,0
89121,2021-04-30,Chile,1198245,26353,1129347.0,42545.0,7254,106,3586
89123,2021-04-30,Colombia,2859724,73720,2669308.0,116696.0,17790,490,18665
89132,2021-04-30,Czechia,1630758,29267,1549439.0,52052.0,2222,54,1425
89148,2021-04-30,France,5677835,104675,346480.0,5226680.0,24302,290,1650
89152,2021-04-30,Germany,3405365,83097,3008640.0,313628.0,14326,232,20730
89163,2021-04-30,Hungary,779348,27540,510379.0,241429.0,2365,182,6682
89165,2021-04-30,India,19164969,211853,15684406.0,3268710.0,401993,3523,299988
89166,2021-04-30,Indonesia,1668368,45521,1522634.0,100213.0,5500,187,5202
89167,2021-04-30,Iran,2499077,71758,1954321.0,472998.0,19272,407,16257
89168,2021-04-30,Iraq,1065199,15465,942046.0,107688.0,6405,32,7111
89170,2021-04-30,Israel,838481,6363,830625.0,1493.0,74,1,95
89171,2021-04-30,Italy,4022653,120807,3465576.0,436270.0,13445,263,15621
89173,2021-04-30,Japan,593264,10199,518891.0,64174.0,4684,39,3487
89174,2021-04-30,Jordan,711373,8836,682503.0,20034.0,1556,35,1596
89183,2021-04-30,Lebanon,526578,7278,461122.0,58178.0,1001,29,3364
89200,2021-04-30,Mexico,2344755,216907,1864914.0,262934.0,3821,460,3053
89206,2021-04-30,Morocco,511249,9023,497621.0,4605.0,363,3,516
89210,2021-04-30,Netherlands,1522973,17398,25632.0,1479943.0,7808,26,104
89218,2021-04-30,Pakistan,825519,17957,717009.0,90553.0,4696,146,5544
89222,2021-04-30,Peru,1799445,61477,1736183.0,1785.0,16106,735,7521
89223,2021-04-30,Philippines,1037460,17234,946318.0,73908.0,8722,89,4079
89224,2021-04-30,Poland,2792142,67502,2496810.0,227830.0,6789,429,13030
89225,2021-04-30,Portugal,836493,16974,795838.0,23681.0,460,0,512
89227,2021-04-30,Romania,1055265,28109,989393.0,37763.0,1636,138,3566
89228,2021-04-30,Russia,4750755,108290,4377504.0,264961.0,8613,388,8290
89238,2021-04-30,Serbia,689557,6362,0.0,683195.0,1613,25,0
89246,2021-04-30,South Africa,1581210,54350,1505620.0,21240.0,1674,19,1194
89248,2021-04-30,Spain,3524077,78216,150376.0,3295485.0,9135,136,0
89252,2021-04-30,Sweden,973604,14048,0.0,959556.0,5926,46,0
89253,2021-04-30,Switzerland,659974,10632,317600.0,331742.0,1831,7,0
89263,2021-04-30,Turkey,4820591,40131,4323897.0,456563.0,31891,394,68183
89264,2021-04-30,US,32346971,576232,0.0,31770739.0,57922,1038,0
89266,2021-04-30,Ukraine,2124070,45923,1705967.0,372180.0,10190,316,20308
89267,2021-04-30,United Arab Emirates,520236,1587,500779.0,17870.0,1974,3,1836
89268,2021-04-30,United Kingdom,4432246,127775,14683.0,4289788.0,2397,16,25
