Date,New cases,New deaths,New recovered
2020-01-31,9370,196,192
2020-02-29,76086,2729,38101
2020-03-31,789811,41586,136328
2020-04-30,2437845,192893,815937
2020-05-31,2912776,137621,1595570
2020-06-30,4274173,133145,2695284
2020-07-31,7146963,167330,4985786
2020-08-31,7905849,175570,6435746
2020-09-30,8510721,163905,6831774
2020-10-31,12130534,181802,7097564
2020-11-30,17314553,274829,9614001
2020-12-31,20148910,353389,6268994
2021-01-31,19467764,411058,9819413
2021-02-28,11152383,297478,7210758
2021-03-31,14796513,282700,8583314
2021-04-30,22506624,364155,14896382
2021-05-31,1102860,22527,1061863
