Country/Region,Date,Confirmed,Deaths,Recovered
 Azerbaijan,2020-02-29,1,0,0
"('St. Martin',)",2020-03-31,2,0,0
Afghanistan,2020-02-29,6,0,0
Afghanistan,2020-03-31,1164,27,26
Afghanistan,2020-04-30,27074,890,2927
Afghanistan,2020-05-31,225674,5007,24129
Afghanistan,2020-06-30,750944,15016,184768
Afghanistan,2020-07-31,1077247,33518,688117
Afghanistan,2020-08-31,1163297,42101,843438
Afghanistan,2020-09-30,1163868,42987,949104
Afghanistan,2020-10-31,1245948,46287,1039280
Afghanistan,2020-11-30,1308111,49133,1058724
Afghanistan,2020-12-31,1522209,62357,1207801
Afghanistan,2021-01-31,1668119,71838,1403684
Afghanistan,2021-02-28,1553102,67864,1358287
Afghanistan,2021-03-31,1737068,76227,1541980
Afghanistan,2021-04-30,1733260,76300,1566429
Afghanistan,2021-05-31,1849351,79523,1595705
Albania,2020-03-31,2232,91,241
Albania,2020-04-30,15632,728,7902
Albania,2020-05-31,28873,975,21760
Albania,2020-06-30,50880,1221,32742
Albania,2020-07-31,119660,3302,67686
Albania,2020-08-31,230278,6945,120294
Albania,2020-09-30,350148,10286,200469
Albania,2020-10-31,523084,13731,305370
Albania,2020-11-30,866248,19239,424181
Albania,2020-12-31,1540509,31857,819127
Albania,2021-01-31,2088163,39480,1250570
Albania,2021-02-28,2610775,44037,1622660
Albania,2021-03-31,3652195,63810,2525857
Albania,2021-04-30,3865660,69887,3010039
Albania,2021-05-31,3824532,70366,3536358
Algeria,2020-02-29,5,0,0
Algeria,2020-03-31,4823,324,594
Algeria,2020-04-30,69497,9197,24072
Algeria,2020-05-31,211394,16901,109804
Algeria,2020-06-30,337819,23600,233399
Algeria,2020-07-31,674286,32720,467472
Algeria,2020-08-31,1185076,42428,826991
Algeria,2020-09-30,1458290,48964,1026971
Algeria,2020-10-31,1683631,57192,1177057
Algeria,2020-11-30,2074384,65248,1373852
Algeria,2020-12-31,2884170,81232,1902624
Algeria,2021-01-31,3212268,87734,2181520
Algeria,2021-02-28,3096714,82303,2126923
Algeria,2021-03-31,3577898,94314,2481861
Algeria,2021-04-30,3581338,94693,2495622
