location,date,vaccine,total_vaccinations
Austria,1/5/2021,Johnson&Johnson,0
Austria,1/5/2021,Moderna,0
Austria,1/5/2021,Oxford/AstraZeneca,0
Austria,1/5/2021,Pfizer/BioNTech,30829
Austria,1/12/2021,Johnson&Johnson,0
Austria,1/12/2021,Moderna,88
Austria,1/12/2021,Oxford/AstraZeneca,0
Austria,1/12/2021,Pfizer/BioNTech,114966
Austria,1/19/2021,Johnson&Johnson,0
Austria,1/19/2021,Moderna,298
Austria,1/19/2021,Oxford/AstraZeneca,0
Austria,1/19/2021,Pfizer/BioNTech,211955
Austria,1/26/2021,Johnson&Johnson,0
Austria,1/26/2021,Moderna,4144
Austria,1/26/2021,Oxford/AstraZeneca,0
Austria,1/26/2021,Pfizer/BioNTech,256468
Austria,2/2/2021,Johnson&Johnson,0
Austria,2/2/2021,Moderna,5821
Austria,2/2/2021,Oxford/AstraZeneca,1
Austria,2/2/2021,Pfizer/BioNTech,351355
Austria,2/9/2021,Johnson&Johnson,0
Austria,2/9/2021,Moderna,9849
Austria,2/9/2021,Oxford/AstraZeneca,10746
Austria,2/9/2021,Pfizer/BioNTech,451937
Austria,2/16/2021,Johnson&Johnson,0
Austria,2/16/2021,Moderna,13966
Austria,2/16/2021,Oxford/AstraZeneca,43387
Austria,2/16/2021,Pfizer/BioNTech,517314
Austria,2/23/2021,Johnson&Johnson,0
Austria,2/23/2021,Moderna,22200
Austria,2/23/2021,Oxford/AstraZeneca,100964
Austria,2/23/2021,Pfizer/BioNTech,578130
Austria,3/2/2021,Johnson&Johnson,0
Austria,3/2/2021,Moderna,31316
Austria,3/2/2021,Oxford/AstraZeneca,155413
Austria,3/2/2021,Pfizer/BioNTech,681746
Austria,3/9/2021,Johnson&Johnson,0
Austria,3/9/2021,Moderna,46571
Austria,3/9/2021,Oxford/AstraZeneca,232452
Austria,3/9/2021,Pfizer/BioNTech,844254
Austria,3/16/2021,Johnson&Johnson,10
Austria,3/16/2021,Moderna,78242
Austria,3/16/2021,Oxford/AstraZeneca,304880
Austria,3/16/2021,Pfizer/BioNTech,975854
Austria,3/23/2021,Johnson&Johnson,16
Austria,3/23/2021,Moderna,103523
Austria,3/23/2021,Oxford/AstraZeneca,378977
Austria,3/23/2021,Pfizer/BioNTech,1120524
Austria,3/30/2021,Johnson&Johnson,26
Austria,3/30/2021,Moderna,139482
Austria,3/30/2021,Oxford/AstraZeneca,417025
Austria,3/30/2021,Pfizer/BioNTech,1267320
Austria,4/6/2021,Johnson&Johnson,41
Austria,4/6/2021,Moderna,178749
Austria,4/6/2021,Oxford/AstraZeneca,506367
Austria,4/6/2021,Pfizer/BioNTech,1487263
Austria,4/13/2021,Johnson&Johnson,42
Austria,4/13/2021,Moderna,220857
Austria,4/13/2021,Oxford/AstraZeneca,600969
Austria,4/13/2021,Pfizer/BioNTech,1718603
Austria,4/20/2021,Johnson&Johnson,46
Austria,4/20/2021,Moderna,257879
Austria,4/20/2021,Oxford/AstraZeneca,649369
Austria,4/20/2021,Pfizer/BioNTech,1980007
Austria,4/27/2021,Johnson&Johnson,266
Austria,4/27/2021,Moderna,296447
Austria,4/27/2021,Oxford/AstraZeneca,691139
Austria,4/27/2021,Pfizer/BioNTech,2250453
Austria,5/4/2021,Johnson&Johnson,6324
Austria,5/4/2021,Moderna,345110
Austria,5/4/2021,Oxford/AstraZeneca,753315
Austria,5/4/2021,Pfizer/BioNTech,2576886
Austria,5/11/2021,Johnson&Johnson,13203
Austria,5/11/2021,Moderna,394289
Austria,5/11/2021,Oxford/AstraZeneca,816586
Austria,5/11/2021,Pfizer/BioNTech,2872991
Austria,5/18/2021,Johnson&Johnson,25310
Austria,5/18/2021,Moderna,461192
Austria,5/18/2021,Oxford/AstraZeneca,892843
Austria,5/18/2021,Pfizer/BioNTech,3246412
Austria,5/25/2021,Johnson&Johnson,37227
Austria,5/25/2021,Moderna,513294
Austria,5/25/2021,Oxford/AstraZeneca,974186
Austria,5/25/2021,Pfizer/BioNTech,3578357
