Date,Confirmed,Deaths,Recovered
2020-01-31,38980,905,897
2020-02-29,1671960,46898,380837
2020-03-31,8896092,386607,2707333
2020-04-30,63155257,4200500,16422184
2020-05-31,144857836,9605979,54218282
2020-06-30,246800814,13294590,118665388
2020-07-31,431962227,18393019,242303677
2020-08-31,672192068,23894263,423451059
2020-09-30,895139725,28123886,608329768
2020-10-31,1230014166,34288562,841949383
2020-11-30,1649742253,39948118,1065634528
2020-12-31,2295681390,51261895,1372127701
2021-01-31,2916265667,62907452,1615032008
2021-02-28,3052605495,67275291,1711133953
2021-03-31,3755247451,82942587,2126494650
2021-04-30,4193896176,89824610,2400178997
2021-05-31,4693884201,97617855,2851207267
