Country/Region,ObservationDate,SNo,Confirmed,Deaths,Recovered
 Azerbaijan,2020-02-29,2738,1,0,0
"('St. Martin',)",2020-03-31,4771,2,0,0
Afghanistan,2020-02-29,15495,6,0,0
Afghanistan,2020-03-31,197190,1164,27,26
Afghanistan,2020-04-30,465635,27074,890,2927
Afghanistan,2020-05-31,802647,225674,5007,24129
Afghanistan,2020-06-30,1295222,750944,15016,184768
Afghanistan,2020-07-31,2030462,1077247,33518,688117
Afghanistan,2020-08-31,2745956,1163297,42101,843438
Afghanistan,2020-09-30,3340065,1163868,42987,949104
Afghanistan,2020-10-31,4157668,1245948,46287,1039280
Afghanistan,2020-11-30,4710738,1308111,49133,1058724
Afghanistan,2020-12-31,5588029,1522209,62357,1207801
Afghanistan,2021-01-31,6321733,1668119,71838,1403684
Afghanistan,2021-02-28,6341650,1553102,67864,1358287
Afghanistan,2021-03-31,7720705,1737068,76227,1541980
Afghanistan,2021-04-30,8171625,1733260,76300,1566429
Afghanistan,2021-05-31,8553695,1849351,79523,1595705
Albania,2020-03-31,168175,2232,91,241
Albania,2020-04-30,465665,15632,728,7902
Albania,2020-05-31,802678,28873,975,21760
Albania,2020-06-30,1295252,50880,1221,32742
Albania,2020-07-31,2030493,119660,3302,67686
Albania,2020-08-31,2745987,230278,6945,120294
Albania,2020-09-30,3340095,350148,10286,200469
Albania,2020-10-31,4157699,523084,13731,305370
Albania,2020-11-30,4710768,866248,19239,424181
Albania,2020-12-31,5588060,1540509,31857,819127
Albania,2021-01-31,6321764,2088163,39480,1250570
Albania,2021-02-28,6341678,2610775,44037,1622660
Albania,2021-03-31,7720736,3652195,63810,2525857
Albania,2021-04-30,8171655,3865660,69887,3010039
Albania,2021-05-31,8553724,3824532,70366,3536358
Algeria,2020-02-29,13175,5,0,0
Algeria,2020-03-31,196087,4823,324,594
Algeria,2020-04-30,465695,69497,9197,24072
Algeria,2020-05-31,802709,211394,16901,109804
Algeria,2020-06-30,1295282,337819,23600,233399
Algeria,2020-07-31,2030524,674286,32720,467472
Algeria,2020-08-31,2746018,1185076,42428,826991
Algeria,2020-09-30,3340125,1458290,48964,1026971
Algeria,2020-10-31,4157730,1683631,57192,1177057
Algeria,2020-11-30,4710798,2074384,65248,1373852
Algeria,2020-12-31,5588091,2884170,81232,1902624
Algeria,2021-01-31,6321795,3212268,87734,2181520
Algeria,2021-02-28,6341706,3096714,82303,2126923
Algeria,2021-03-31,7720767,3577898,94314,2481861
Algeria,2021-04-30,8171685,3581338,94693,2495622
Algeria,2021-05-31,8553753,3632765,97614,2530537
Andorra,2020-03-31,194374,2787,39,37
Andorra,2020-04-30,465725,19106,917,5636
Andorra,2020-05-31,802740,23498,1518,18505
Andorra,2020-06-30,1295312,25511,1545,23239
Andorra,2020-07-31,2030555,27174,1612,24877
Andorra,2020-08-31,2746049,31382,1632,26677
Andorra,2020-09-30,3340155,45275,1590,32128
Andorra,2020-10-31,4157761,103067,1895,69118
Andorra,2020-11-30,4710828,174907,2266,143348
Andorra,2020-12-31,5588122,230115,2478,209606
Andorra,2021-01-31,6321826,279226,2805,253747
Andorra,2021-02-28,6341734,293412,2986,277194
Andorra,2021-03-31,7720798,352375,3499,336906
Andorra,2021-04-30,8171715,380633,3637,361236
Andorra,2021-05-31,8553782,391334,3681,380219
Angola,2020-03-31,106283,48,6,1
Angola,2020-04-30,465755,601,60,129
Angola,2020-05-31,802771,1639,85,466
Angola,2020-06-30,1295342,4660,210,1668
Angola,2020-07-31,2030586,20049,915,5708
Angola,2020-08-31,2746080,59160,2627,22283
Angola,2020-09-30,3340185,111469,4268,41899
Angola,2020-10-31,4157792,233349,7325,94176
Angola,2020-11-30,4710858,404417,9636,196092
Angola,2020-12-31,5588153,508018,11686,286751
Angola,2021-01-31,6321857,580289,13481,473400
Angola,2021-02-28,6341762,569508,13697,527106
Angola,2021-03-31,7720829,666295,16193,618101
Angola,2021-04-30,8171745,726071,16851,668606
Angola,2021-05-31,8553811,879290,19449,746655
Antigua and Barbuda,2020-03-31,149979,61,0,0
Antigua and Barbuda,2020-04-30,465785,617,62,125
Antigua and Barbuda,2020-05-31,802802,776,93,561
Antigua and Barbuda,2020-06-30,1295372,1026,90,629
Antigua and Barbuda,2020-07-31,2030617,2366,93,1551
Antigua and Barbuda,2020-08-31,2746111,2881,93,2558
Antigua and Barbuda,2020-09-30,3340215,2886,90,2743
Antigua and Barbuda,2020-10-31,4157823,3586,93,3163
Antigua and Barbuda,2020-11-30,4710888,4047,107,3745
Antigua and Barbuda,2020-12-31,5588184,4656,143,4343
Antigua and Barbuda,2021-01-31,6321888,5759,175,4906
Antigua and Barbuda,2021-02-28,6341790,12957,279,5943
Antigua and Barbuda,2021-03-31,7720860,30085,770,18051
Antigua and Barbuda,2021-04-30,8171775,36073,911,28597
Antigua and Barbuda,2021-05-31,8553840,36092,1060,33043
Argentina,2020-03-31,190304,6494,158,923
Argentina,2020-04-30,465815,77576,3482,19590
Argentina,2020-05-31,802833,275556,11562,84929
Argentina,2020-06-30,1295402,1091252,26775,335157
Argentina,2020-07-31,2030648,3728771,69223,1556787
Argentina,2020-08-31,2746142,9244163,183974,6029870
Argentina,2020-09-30,3340245,17545982,371729,13413943
Argentina,2020-10-31,4157854,29922509,795200,24249610
Argentina,2020-11-30,4710918,39307295,1062692,33912316
Argentina,2020-12-31,5588215,47136788,1278031,41776579
Argentina,2021-01-31,6321919,55312462,1412028,48805346
Argentina,2021-02-28,6341818,56733848,1407809,51092582
Argentina,2021-03-31,7720891,68713761,1674835,62045827
Argentina,2021-04-30,8171805,79416752,1774449,70049590
Argentina,2021-05-31,8553869,96289671,2040494,85377246
Armenia,2020-03-31,196919,4099,12,205
Armenia,2020-04-30,465845,36511,527,12116
Armenia,2020-05-31,802864,151445,2012,63541
Armenia,2020-06-30,1295432,520967,8745,222445
Armenia,2020-07-31,2030679,1026463,18701,671719
Armenia,2020-08-31,2746173,1286089,25394,1059630
Armenia,2020-09-30,3340275,1398359,27637,1251850
Armenia,2020-10-31,4157885,2012415,33744,1490885
Armenia,2020-11-30,4710948,3480514,53074,2395256
Armenia,2020-12-31,5588246,4636215,78705,3964417
Armenia,2021-01-31,6321950,5076072,92132,4695829
Armenia,2021-02-28,6341846,4741148,87995,4507424
Armenia,2021-03-31,7720922,5603135,102663,5186198
Armenia,2021-04-30,8171835,6176164,114772,5573536
Armenia,2021-05-31,8553898,6386681,124646,6006524
Aruba,2020-03-31,43556,19,0,0
Australia,2020-01-31,5261,41,0,4
Australia,2020-02-29,212101,486,0,195
Australia,2020-03-31,1658142,35620,192,2346
Australia,2020-04-30,3792156,187842,1817,86849
Australia,2020-05-31,6504336,217625,3071,195488
Australia,2020-06-30,10493805,222611,3075,205100
Australia,2020-07-31,16383837,361723,3996,256334
Australia,2020-08-31,22108935,711091,13006,381635
Australia,2020-09-30,26857250,800899,24475,614861
Australia,2020-10-31,33402865,848364,27949,679908
Australia,2020-11-30,37824528,832514,27212,669764
Australia,2020-12-31,44848351,872046,28153,697478
Australia,2021-01-31,50718100,889012,28179,703156
Australia,2021-02-28,50863624,809190,25452,640112
Australia,2021-03-31,61910038,903649,28179,711784
Australia,2021-04-30,65512740,885710,27289,694114
Australia,2021-05-31,68564642,869015,26390,680805
Austria,2020-02-29,13094,19,0,0
Austria,2020-03-31,194957,84800,626,2883
Austria,2020-04-30,465875,417242,11663,241616
Austria,2020-05-31,802895,500479,19474,447388
Austria,2020-06-30,1295462,515592,20495,481557
Austria,2020-07-31,2030710,600464,21997,539229
Austria,2020-08-31,2746204,735971,22523,645006
Austria,2020-09-30,3340305,1058863,22824,851070
Austria,2020-10-31,4157916,2039236,28062,1521700
Austria,2020-11-30,4710978,6048662,59076,4042516
Austria,2020-12-31,5588277,10147084,149705,8916607
Austria,2021-01-31,6321981,12102376,217497,11328881
Austria,2021-02-28,6341874,12191179,229966,11533469
Austria,2021-03-31,7720953,15518627,277208,14360090
Austria,2021-04-30,8171865,17593916,294285,16404817
Austria,2021-05-31,8553927,18411365,302908,17733716
Azerbaijan,2020-03-31,196722,1915,37,212
Azerbaijan,2020-04-30,465905,35353,429,16061
Azerbaijan,2020-05-31,802926,101560,1227,65682
Azerbaijan,2020-06-30,1295492,326549,3939,180444
Azerbaijan,2020-07-31,2030741,794844,10407,540422
Azerbaijan,2020-08-31,2746235,1065366,15562,971973
Azerbaijan,2020-09-30,3340335,1156339,16972,1081353
Azerbaijan,2020-10-31,4157947,1403733,19697,1242714
Azerbaijan,2020-11-30,4711008,2434291,30250,1707790
Azerbaijan,2020-12-31,5588308,5629069,63398,3893078
Azerbaijan,2021-01-31,6322012,7006474,91932,6568386
Azerbaijan,2021-02-28,6341902,6502320,89032,6342572
Azerbaijan,2021-03-31,7720984,7560926,103279,7194066
Azerbaijan,2021-04-30,8171895,8816077,121720,7822456
Azerbaijan,2021-05-31,8553956,9531948,137809,9030499
Bahamas,2020-03-31,91262,86,0,8
Bahamas,2020-04-30,465935,1578,235,281
Bahamas,2020-05-31,802957,2933,341,1201
Bahamas,2020-06-30,1295522,3100,330,2124
Bahamas,2020-07-31,2030772,6403,347,2797
Bahamas,2020-08-31,2746266,41205,722,7331
Bahamas,2020-09-30,3340365,93104,2105,44339
Bahamas,2020-10-31,4157978,170339,3612,100515
Bahamas,2020-11-30,4711038,215718,4721,158704
Bahamas,2020-12-31,5588339,238552,5125,188608
Bahamas,2021-01-31,6322043,249177,5419,201910
Bahamas,2021-02-28,6341930,233940,4977,196424
Bahamas,2021-03-31,7721015,271796,5736,237050
Bahamas,2021-04-30,8171925,289640,5771,270035
Bahamas,2021-05-31,8553985,321760,6302,290331
"Bahamas, The",2020-03-31,22109,10,0,0
Bahrain,2020-02-29,15320,167,0,0
Bahrain,2020-03-31,195302,7759,41,3046
Bahrain,2020-04-30,465965,48676,190,22965
Bahrain,2020-05-31,802988,210502,349,100507
Bahrain,2020-06-30,1295552,575360,1441,413158
Bahrain,2020-07-31,2030803,1074705,3672,943774
Bahrain,2020-08-31,2746297,1447593,5311,1345895
Bahrain,2020-09-30,3340395,1856231,6496,1678279
