Country,Deaths to 5/1/21,Deaths Ratio by population,Vaccine Type Count,Reported Full Vacs,full Vac by population,Code,2019 Population,2019 GDP,percapita
Afghanistan,2631,0.0069161,3,55624,0.146218284,AFG,38041754,19291104008,507.1034319
Albania,2396,0.0839467,4,228756,8.014740429,ALB,2854191,15279183290,5353.244856
Algeria,3261,0.0075744,0,0,0,DZA,43053054,171091000000,3973.957341
Andorra,125,0.1620388,2,4702,6.09525291,AND,77142,3154057987,40886.39116
Angola,600,0.0018853,1,75215,0.236337165,AGO,31825295,88815697793,2790.726615
Antigua and Barbuda,32,0.0329496,1,2581,2.657591796,ATG,97118,1661962963,17112.82114
Argentina,64096,0.1426298,3,2103964,4.68185203,ARG,44938712,445445000000,9912.27786
Armenia,4128,0.1395664,3,0,0,ARM,2957731,13672802158,4622.733493
Aruba,99,0.0931204,1,37324,35.10732359,ABW,106314,0,0
Australia,910,0.0035877,2,0,0,AUS,25364307,1396570000000,55060.4438
Austria,10233,0.1152746,4,1129198,12.72039515,AUT,8877067,445075000000,50137.61865
Azerbaijan,4538,0.0452744,2,808878,8.069962462,AZE,10023318,48047647059,4793.58702
Bahamas,199,0.0510935,1,0,0,BHS,389482,13578800000,34863.7421
Bahrain,648,0.0394840,4,657975,40.09177588,BHR,1641172,38574069149,23503.97713
Bangladesh,11510,0.0070594,1,3816088,2.340495463,BGD,163046161,302571000000,1855.738265
Barbados,44,0.0153297,1,47132,16.42086926,BRB,287025,5209000000,18148.24493
Belarus,2552,0.0269572,1,150000,1.584475353,BLR,9466856,63080457023,6663.295293
Belgium,24258,0.2112320,4,1438285,12.52419115,BEL,11484055,533097000000,46420.62407
Belize,323,0.0827456,1,9504,2.434719344,BLZ,390353,1879613600,4815.163711
Benin,99,0.0008389,0,0,0,BEN,11801151,14390709095,1219.432672
Bermuda,28,0.0438061,1,31251,48.8923308,BMU,63918,7484113000,117089.2863
Bhutan,1,0.0001310,1,0,0,BTN,763092,2530547158,3316.175714
Bolivia,13009,0.1129930,4,291739,2.533974342,BOL,11513100,40895322844,3552.06876
Bosnia and Herzegovina,8551,0.2590427,4,34162,1.034898516,BIH,3301000,20164193807,6108.510696
Botswana,712,0.0309068,1,0,0,BWA,2303697,18340480936,7961.325181
Brazil,406437,0.1925790,3,17722720,8.397422279,BRA,211049527,1839760000000,8717.195561
Brunei,3,0.0006924,1,862,0.198945267,BRN,433285,13469422959,31086.75112
Bulgaria,16444,0.2357306,4,458248,6.569147079,BGR,6975761,68558815112,9828.148515
Burkina Faso,157,0.0007726,0,0,0,BFA,20321378,15990803570,786.8956313
Burma,3209,0.0059376,1,854211,1.58054281,MMR,54045420,76085852617,1407.813143
Burundi,6,0.0000520,,,0,BDI,11530580,3012334882,261.2474725
Cambodia,96,0.0005823,3,1335645,8.101425999,KHM,16486542,27089389787,1643.121389
Cameroon,1107,0.0042780,2,1782,0.006886589,CMR,25876380,39007354359,1507.450206
Canada,24245,0.0644998,3,1486018,3.953304537,CAN,37589262,1736430000000,46194.84149
Cape Verde,220,0.0400047,2,2673,0.486057443,CPV,549935,1981845740,3603.781792
Cayman Islands,2,0.0030794,2,34305,52.81917842,CYM,64948,0,0
Central African Republic,88,0.0018545,0,0,0,CAF,4745185,2220307369,467.9074407
Chad,170,0.0010660,0,0,0,TCD,15946876,11314951343,709.5403102
Chile,26457,0.1395998,3,7586547,40.03024371,CHL,18952038,282318000000,14896.44544
China,4636,0.0003317,3,0,0,CHN,1397715000,14279900000000,10216.60353
Colombia,73992,0.1469861,3,2958890,5.877875923,COL,50339443,323616000000,6428.676614
Comoros,146,0.0171586,3,1835,0.215657562,COM,850886,1165839927,1370.148207
Congo (Brazzaville),144,0.0026763,4,15645,0.290771801,COG,5380508,12267392147,2279.969131
Congo (Kinshasa),768,0.0008849,1,0,0,COD,86790567,50400746171,580.7168672
Costa Rica,3231,0.0640111,2,530018,10.50047736,CRI,5047561,61801385049,12243.81143
Cote d'Ivoire,286,0.0011121,1,0,0,CIV,25716544,58539424930,2276.333279
Croatia,7130,0.1752919,3,341008,8.383724647,HRV,4067500,60752588976,14936.10055
Cuba,654,0.0057705,0,0,0,CUB,11333483,0,0
Curacao,110,0.0698244,2,51635,32.77621907,CUW,157538,3101787709,19689.13982
Cyprus,312,0.0260309,3,121886,10.16924264,CYP,1198575,24948935408,20815.49791
