Country,State,Latitude,Longitude,Deaths to 5/1/21
Afghanistan,,33.93911,67.709953,2631
Albania,,41.1533,20.1683,2396
Algeria,,28.0339,1.6596,3261
Andorra,,42.5063,1.5218,125
Angola,,-11.2027,17.8739,600
Antigua and Barbuda,,17.0608,-61.7964,32
Argentina,,-38.4161,-63.6167,64096
Armenia,,40.0691,45.0382,4128
Australia,Australian Capital Territory,-32.106275000000004,141.35548749999998,910
Austria,,47.5162,14.5501,10233
Azerbaijan,,40.1431,47.5769,4538
Bahamas,,25.025885,-78.035889,199
Bahrain,,26.0275,50.55,648
Bangladesh,,23.685,90.3563,11510
Barbados,,13.1939,-59.5432,44
Belarus,,53.7098,27.9534,2552
Belgium,,50.8333,4.469936,24258
Belize,,17.1899,-88.4976,323
Benin,,9.3077,2.3158,99
Bhutan,,27.5142,90.4336,1
Bolivia,,-16.2902,-63.5887,13009
Bosnia and Herzegovina,,43.9159,17.6791,8551
Botswana,,-22.3285,24.6849,712
Brazil,,-14.235,-51.9253,406437
Brunei,,4.5353,114.7277,3
Bulgaria,,42.7339,25.4858,16444
Burkina Faso,,12.2383,-1.5616,157
Burma,,21.9162,95.956,3209
Burundi,,-3.3731,29.9189,6
Cabo Verde,,16.5388,-23.0418,220
Cambodia,,11.55,104.9167,96
Cameroon,,3.8480000000000003,11.5021,1107
Canada,Alberta,47.25703999999999,-80.17319333333333,24245
Central African Republic,,6.6111,20.9394,88
Chad,,15.4542,18.7322,170
Chile,,-35.6751,-71.543,26457
China,Anhui,33.218509375,111.710553125,4636
Hong Kong,Hong Kong,22.3,114.2,210
Colombia,,4.5709,-74.2973,73992
Comoros,,-11.6455,43.3333,146
Congo (Brazzaville),,-0.228,15.8277,144
Congo (Kinshasa),,-4.0383,21.7587,768
Costa Rica,,9.7489,-83.7534,3231
Cote d'Ivoire,,7.54,-5.5471,286
Croatia,,45.1,15.2,7130
Cuba,,21.521757,-77.78116700000001,654
Cyprus,,35.1264,33.4299,312
Czechia,,49.8175,15.472999999999999,29316
Greenland,Greenland,71.7069,-42.6043,0
Denmark,,56.2639,9.5018,2490
Diamond Princess,,0.0,0.0,13
Djibouti,,11.8251,42.5903,145
Dominica,,15.415,-61.371,0
Dominican Republic,,18.7357,-70.1627,3487
Ecuador,,-1.8312,-78.1834,18724
Egypt,,26.820553000000004,30.802497999999996,13402
El Salvador,,13.7942,-88.8965,2124
Equatorial Guinea,,1.6508,10.2679,112
Eritrea,,15.1794,39.7823,10
Estonia,,58.5953,25.0136,1166
Eswatini,,-26.5225,31.4659,671
Ethiopia,,9.145,40.4897,3709
Fiji,,-17.7134,178.065,2
Finland,,61.92411,25.748151,914
French Polynesia,French Polynesia,-17.6797,149.4068,141
St. Martin (French part),St Martin,18.0708,-63.0501,12
France,,46.2276,2.2137,104714
Gabon,,-0.8037,11.6094,139
Gambia,,13.4432,-15.3101,174
Georgia,,42.3154,43.3569,4130
Germany,,51.165690999999995,10.451526,83207
Ghana,,7.9465,-1.0232,779
Greece,,39.0742,21.8243,10453
Grenada,,12.1165,-61.678999999999995,1
Guatemala,,15.7835,-90.2308,7543
Guinea,,9.9456,-9.6966,144
Guinea-Bissau,,11.8037,-15.1804,67
Guyana,,4.860416000000001,-58.93018000000001,298
Haiti,,18.9712,-72.2852,254
