Country,Code_x,2019 Population,Code_y,2019 GDP
Aruba,ABW,106314.0,ABW,0.0
Afghanistan,AFG,38041754.0,AFG,19291104008.0
Angola,AGO,31825295.0,AGO,88815697793.0
Albania,ALB,2854191.0,ALB,15279183290.0
Andorra,AND,77142.0,AND,3154057987.0
Arab World,ARB,427870270.0,ARB,2817410000000.0
United Arab Emirates,ARE,9770529.0,ARE,421142000000.0
Argentina,ARG,44938712.0,ARG,445445000000.0
Armenia,ARM,2957731.0,ARM,13672802158.0
American Samoa,ASM,55312.0,ASM,0.0
Antigua and Barbuda,ATG,97118.0,ATG,1661962963.0
Australia,AUS,25364307.0,AUS,1396570000000.0
Austria,AUT,8877067.0,AUT,445075000000.0
Azerbaijan,AZE,10023318.0,AZE,48047647059.0
Burundi,BDI,11530580.0,BDI,3012334882.0
Belgium,BEL,11484055.0,BEL,533097000000.0
Benin,BEN,11801151.0,BEN,14390709095.0
Burkina Faso,BFA,20321378.0,BFA,15990803570.0
Bangladesh,BGD,163046161.0,BGD,302571000000.0
Bulgaria,BGR,6975761.0,BGR,68558815112.0
Bahrain,BHR,1641172.0,BHR,38574069149.0
"Bahamas, The",BHS,389482.0,BHS,13578800000.0
Bosnia and Herzegovina,BIH,3301000.0,BIH,20164193807.0
Belarus,BLR,9466856.0,BLR,63080457023.0
Belize,BLZ,390353.0,BLZ,1879613600.0
Bermuda,BMU,63918.0,BMU,7484113000.0
Bolivia,BOL,11513100.0,BOL,40895322844.0
Brazil,BRA,211049527.0,BRA,1839760000000.0
Barbados,BRB,287025.0,BRB,5209000000.0
Brunei Darussalam,BRN,433285.0,BRN,13469422959.0
Bhutan,BTN,763092.0,BTN,2530547158.0
Botswana,BWA,2303697.0,BWA,18340480936.0
Central African Republic,CAF,4745185.0,CAF,2220307369.0
Canada,CAN,37589262.0,CAN,1736430000000.0
Central Europe and the Baltics,CEB,102378579.0,CEB,1668850000000.0
Switzerland,CHE,8574832.0,CHE,703082000000.0
Channel Islands,CHI,172259.0,CHI,0.0
Chile,CHL,18952038.0,CHL,282318000000.0
China,CHN,1397715000.0,CHN,14279900000000.0
Cote d'Ivoire,CIV,25716544.0,CIV,58539424930.0
Cameroon,CMR,25876380.0,CMR,39007354359.0
"Congo, Dem. Rep.",COD,86790567.0,COD,50400746171.0
"Congo, Rep.",COG,5380508.0,COG,12267392147.0
Colombia,COL,50339443.0,COL,323616000000.0
Comoros,COM,850886.0,COM,1165839927.0
Cabo Verde,CPV,549935.0,CPV,1981845740.0
Costa Rica,CRI,5047561.0,CRI,61801385049.0
Caribbean small states,CSS,7401381.0,CSS,77721714918.0
Cuba,CUB,11333483.0,CUB,0.0
Curacao,CUW,157538.0,CUW,3101787709.0
Cayman Islands,CYM,64948.0,CYM,0.0
Cyprus,CYP,1198575.0,CYP,24948935408.0
Czech Republic,CZE,10669709.0,CZE,250681000000.0
Germany,DEU,83132799.0,DEU,3861120000000.0
Djibouti,DJI,973560.0,DJI,3324634256.0
Dominica,DMA,71808.0,DMA,582403703.7
Denmark,DNK,5818553.0,DNK,350104000000.0
Dominican Republic,DOM,10738958.0,DOM,88941299734.0
Algeria,DZA,43053054.0,DZA,171091000000.0
East Asia & Pacific (excluding high income),EAP,2093675040.0,EAP,17151700000000.0
Early-demographic dividend,EAR,3290290622.0,EAR,11989900000000.0
East Asia & Pacific,EAS,2340628292.0,EAS,26924700000000.0
Europe & Central Asia (excluding high income),ECA,399404587.0,ECA,3248460000000.0
Europe & Central Asia,ECS,921140092.0,ECS,22792800000000.0
Ecuador,ECU,17373662.0,ECU,107436000000.0
"Egypt, Arab Rep.",EGY,100388073.0,EGY,303092000000.0
Euro area,EMU,342597698.0,EMU,13356100000000.0
Eritrea,ERI,3497117.0,ERI,0.0
