Sum of total_vaccinations,Column Labels,,,,,,
Row Labels,Johnson&Johnson,Moderna,Oxford/AstraZeneca,Pfizer/BioNTech,Sinovac,(blank),Grand Total
Chile,,,1398596,115531228,833225487,,950155311
Czechia,333067,18344113,21382482,157883671,,,197943333
France,2263171,96207485,217688189,1006855762,,,1323014607
Germany,520915,94366971,316329973,1344322176,,,1755540035
Iceland,123017,795098,2090587,5890905,,,8899607
Italy,3678389,79253636,231079761,944470429,,,1258482215
Latvia,30987,3341754,8307478,6823833,,,18504052
Lithuania,59614,4940970,12670523,45180839,,,62851946
Romania,199688,24783087,33756173,283302746,,,342041694
United States,419509821,7277028347,,8428730919,,,16125269087
(blank),,,,,,,
Grand Total,426718669,7599061461,844703762,12338992508,833225487,,22042701887
